"Name","ID","State","Runtime","N_sensors","T","steps","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"balmy-cosmos-120","2xi4q0sb","finished","35109","200","0.00001","10000","0.006753440480679274","1.002984642982483","2306","180","6607","907"
"peachy-field-118","fkb9d7z8","finished","37270","200","0.00005","10000","0.00683565903455019","0.2402044832706451","2674","176","6711","439"
"crimson-sunset-117","2tdp6jch","finished","71228","100","0.00005","10000","0.0065718600526452065","1.0374046564102173","5237","106","3423","1234"
"youthful-capybara-116","uf4mt5eg","finished","104182","10","0.00005","10000","0.04986065998673439","1.8038747310638428","3053","0","88","6859"
"lunar-violet-115","3252z3jk","finished","104193","10","0.0001","10000","0.04583127051591873","0.025649603456258777","4178","0","57","5765"
"eager-morning-114","3n9w4env","finished","108098","5","0.0005","10000","0.04453131556510925","0.9923921823501588","3801","0","4","6195"
"soft-sun-113","30fz5q25","finished","105978","10","0.0005","10000","0.01886928640305996","0.00006125955405877903","5249","0","372","4379"
"swift-paper-112","o35pu4z8","finished","97959","50","0.00005","10000","0.013911000452935696","2.8985549511358923e-16","4729","205","1163","3903"
"polished-wave-111","2rg4y61w","finished","101452","25","0.00005","10000","0.008183477446436882","0.9835041761398317","4918","412","569","4101"
"solar-sun-110","1ng9ievf","finished","94029","50","0.0001","10000","0.007682106457650661","0.0002350953727727756","5819","202","1582","2397"
"classic-plasma-109","230u70ex","finished","98760","25","0.0001","10000","0.0070540690794587135","0.0000933227493078448","4914","417","863","3806"
"balmy-brook-108","3nvzgh6n","finished","105513","10","0.001","10000","0.024028433486819267","0.6092463731765747","6538","0","206","3256"
"curious-butterfly-107","3da26wkq","finished","107367","5","0.001","10000","0.038792360574007034","0.000030076769689912908","4985","0","14","5001"
"easy-fire-106","3lf3tif9","finished","27500","200","0.00006","10000","0.006781713105738163","0.7768464088439941","2810","169","6652","369"
"misunderstood-sound-105","3jqyv5pq","finished","45713","100","0.000069","10000","0.006713266484439373","0.9851428270339966","5219","113","3490","1178"
"golden-monkey-104","225aypv6","finished","139365","50","0.0002","10000","0.0068358248099684715","1.002148985862732","6377","228","1800","1595"
"dutiful-snow-103","2xqqn49u","finished","148574","25","0.00045","10000","0.00797517504543066","2.2748000621795654","6256","432","696","2616"
"golden-planet-102","18c0wu74","finished","155254","10","0.0017","10000","0.02484305389225483","0.467145711183548","6882","0","223","2895"
"dauntless-silence-101","102abbbe","finished","156009","5","0.004","10000","0.0410507395863533","0.968734622001648","5811","0","33","4156"
"rich-sweep-60","htdgkclr","failed","34862","200","0.1","10000","0.0078563978895545","0.9999986886978148","3223","185","6591","1"
"ethereal-sweep-59","n6pz072p","failed","39097","200","0.09","10000","0.0078563978895545","0.9999985694885254","3223","185","6591","1"
"major-sweep-58","r4g56vgw","failed","39064","200","0.08","10000","0.0078563978895545","0.9999983310699464","3223","185","6591","1"
"different-sweep-57","pdphmtbd","failed","73324","100","0.05","10000","0.008031528443098068","0.999456822872162","6454","94","3443","9"
"smooth-sweep-56","z8ridnor","failed","92405","10","0.05","10000","0.02878520265221596","1.0017913579940796","9499","0","278","223"
"distinctive-sweep-55","0ibge8j6","failed","118023","10","0.04","10000","0.029698310419917107","0.9849311113357544","9440","0","285","275"
"clean-sweep-54","btfadz38","failed","109357","10","0.03","10000","0.028982039541006088","1.0010906457901","9334","0","341","325"
"lunar-sweep-53","0il0os7p","failed","113221","5","0.07","10000","0.03948168829083443","0.7575873136520386","9512","0","96","392"
